linea;nodo_1;nodo_2;distancia;descripcion;tipodia;hora_desde;hora_hasta;tr_optimo;tr_minimo;tr_maximo;trayecto;sentido;secuencia;tipo_arco;
6;Portal 80 T-2;Portal Norte T1;17424;B10 Portal Norte;Habil;09:00:00;16:00:00;00:47:30;00:44:45;00:49:15;1379;1;1;1;
6;Portal 80 T-2;Portal Norte T1;17424;B10 Portal Norte;Habil;16:00:00;17:00:00;00:48:30;00:45:30;00:50:00;1379;1;1;1;
6;Portal 80 T-2;Portal Norte T1;17424;B10 Portal Norte;Habil;17:00:00;18:30:00;00:50:30;00:47:00;00:52:45;1379;1;1;1;
6;Portal 80 T-2;Portal Norte T1;17424;B10 Portal Norte;Habil;18:30:00;19:30:00;00:46:30;00:43:45;00:48:45;1379;1;1;1;
6;Portal 80 T-2;Portal Norte T1;17424;B10 Portal Norte;Habil;19:30:00;20:30:00;00:43:30;00:41:00;00:44:45;1379;1;1;1;
6;Portal 80 T-2;Portal Norte T1;17424;B10 Portal Norte;Habil;20:30:00;30:00:00;00:42:15;00:39:45;00:43:30;1379;1;1;1;
12;Portal Américas T3;Biblioteca Tintal A - 1;2885;B28 P. NORTE;Habil;01:00:00;05:30:00;00:08:42;00:08:17;00:08:56;1487;1;1;1;
12;Portal Américas T3;Biblioteca Tintal A - 1;2885;B28 P. NORTE;Habil;05:30:00;06:30:00;00:12:17;00:11:52;00:12:32;1487;1;1;1;
12;Portal Américas T3;Biblioteca Tintal A - 1;2885;B28 P. NORTE;Habil;06:30:00;08:00:00;00:12:26;00:11:58;00:12:47;1487;1;1;1;
12;Portal Américas T3;Biblioteca Tintal A - 1;2885;B28 P. NORTE;Habil;08:00:00;09:00:00;00:09:26;00:09:09;00:09:36;1487;1;1;1;
12;Portal Américas T3;Biblioteca Tintal A - 1;2885;B28 P. NORTE;Habil;09:00:00;16:00:00;00:09:19;00:08:57;00:09:34;1487;1;1;1;
12;Portal Américas T3;Biblioteca Tintal A - 1;2885;B28 P. NORTE;Habil;16:00:00;17:00:00;00:11:36;00:11:08;00:11:52;1487;1;1;1;
12;Portal Américas T3;Biblioteca Tintal A - 1;2885;B28 P. NORTE;Habil;17:00:00;18:30:00;00:09:27;00:09:11;00:09:38;1487;1;1;1;
12;Portal Américas T3;Biblioteca Tintal A - 1;2885;B28 P. NORTE;Habil;18:30:00;19:30:00;00:11:11;00:10:41;00:11:30;1487;1;1;1;
12;Portal Américas T3;Biblioteca Tintal A - 1;2885;B28 P. NORTE;Habil;19:30:00;20:30:00;00:11:03;00:10:41;00:11:21;1487;1;1;1;
12;Portal Américas T3;Biblioteca Tintal A - 1;2885;B28 P. NORTE;Habil;20:30:00;30:00:00;00:10:36;00:10:04;00:11:08;1487;1;1;1;
12;Biblioteca Tintal A - 1;Banderas T6;2096;B28 P. NORTE;Habil;01:00:00;05:30:00;00:06:58;00:06:27;00:07:15;1487;1;2;1;
12;Biblioteca Tintal A - 1;Banderas T6;2096;B28 P. NORTE;Habil;05:30:00;06:30:00;00:08:34;00:08:11;00:08:48;1487;1;2;1;
12;Biblioteca Tintal A - 1;Banderas T6;2096;B28 P. NORTE;Habil;06:30:00;08:00:00;00:07:15;00:06:54;00:07:32;1487;1;2;1;
12;Biblioteca Tintal A - 1;Banderas T6;2096;B28 P. NORTE;Habil;08:00:00;09:00:00;00:05:47;00:05:32;00:05:57;1487;1;2;1;
12;Biblioteca Tintal A - 1;Banderas T6;2096;B28 P. NORTE;Habil;09:00:00;16:00:00;00:04:35;00:04:19;00:04:46;1487;1;2;1;
12;Biblioteca Tintal A - 1;Banderas T6;2096;B28 P. NORTE;Habil;16:00:00;17:00:00;00:05:18;00:05:00;00:05:27;1487;1;2;1;
12;Biblioteca Tintal A - 1;Banderas T6;2096;B28 P. NORTE;Habil;17:00:00;18:30:00;00:04:41;00:04:30;00:04:49;1487;1;2;1;
12;Biblioteca Tintal A - 1;Banderas T6;2096;B28 P. NORTE;Habil;18:30:00;19:30:00;00:06:18;00:05:54;00:06:33;1487;1;2;1;
12;Biblioteca Tintal A - 1;Banderas T6;2096;B28 P. NORTE;Habil;19:30:00;20:30:00;00:05:10;00:04:57;00:05:22;1487;1;2;1;
12;Biblioteca Tintal A - 1;Banderas T6;2096;B28 P. NORTE;Habil;20:30:00;30:00:00;00:06:04;00:05:46;00:06:22;1487;1;2;1;
12;Banderas T6;Portal Norte T2B;24409;B28 P. NORTE;Habil;01:00:00;05:30:00;00:52:40;00:48:56;00:54:45;1487;1;3;1;
12;Banderas T6;Portal Norte T2B;24409;B28 P. NORTE;Habil;05:30:00;06:30:00;00:55:32;00:53:07;00:56:57;1487;1;3;1;
12;Banderas T6;Portal Norte T2B;24409;B28 P. NORTE;Habil;06:30:00;08:00:00;00:57:51;00:55:04;00:59:57;1487;1;3;1;
12;Banderas T6;Portal Norte T2B;24409;B28 P. NORTE;Habil;08:00:00;09:00:00;00:54:04;00:51:47;00:55:29;1487;1;3;1;
12;Banderas T6;Portal Norte T2B;24409;B28 P. NORTE;Habil;09:00:00;16:00:00;00:55:22;00:52:22;00:57:30;1487;1;3;1;
12;Banderas T6;Portal Norte T2B;24409;B28 P. NORTE;Habil;16:00:00;17:00:00;00:54:17;00:51:25;00:55:50;1487;1;3;1;
12;Banderas T6;Portal Norte T2B;24409;B28 P. NORTE;Habil;17:00:00;18:30:00;00:56:30;00:54:21;00:58:04;1487;1;3;1;
12;Banderas T6;Portal Norte T2B;24409;B28 P. NORTE;Habil;18:30:00;19:30:00;00:50:27;00:47:28;00:52:23;1487;1;3;1;
12;Banderas T6;Portal Norte T2B;24409;B28 P. NORTE;Habil;19:30:00;20:30:00;00:46:15;00:44:18;00:47:57;1487;1;3;1;
12;Banderas T6;Portal Norte T2B;24409;B28 P. NORTE;Habil;20:30:00;30:00:00;00:53:40;00:50:59;00:56:21;1487;1;3;1;
14;Portal Suba T8;Calle 161 B - 1;22635;B50 CALLE 161;Habil;01:00:00;05:30:00;00:56:45;00:48:15;01:00:00;1497;1;1;1;
14;Portal Suba T8;Calle 161 B - 1;22635;B50 CALLE 161;Habil;05:30:00;06:30:00;00:54:00;00:51:15;00:56:30;1497;1;1;1;
14;Portal Suba T8;Calle 161 B - 1;22635;B50 CALLE 161;Habil;06:30:00;08:00:00;00:56:45;00:52:15;00:59:30;1497;1;1;1;
14;Portal Suba T8;Calle 161 B - 1;22635;B50 CALLE 161;Habil;08:00:00;09:00:00;00:57:00;00:52:15;01:00:00;1497;1;1;1;
14;Portal Suba T8;Calle 161 B - 1;22635;B50 CALLE 161;Habil;09:00:00;16:00:00;00:56:45;00:48:15;01:00:00;1497;1;1;1;
14;Portal Suba T8;Calle 161 B - 1;22635;B50 CALLE 161;Habil;16:00:00;17:00:00;00:56:45;00:48:15;01:00:00;1497;1;1;1;
14;Portal Suba T8;Calle 161 B - 1;22635;B50 CALLE 161;Habil;17:00:00;18:30:00;00:59:30;00:54:45;01:00:00;1497;1;1;1;
14;Portal Suba T8;Calle 161 B - 1;22635;B50 CALLE 161;Habil;18:30:00;19:30:00;00:56:00;00:51:45;00:57:45;1497;1;1;1;
14;Portal Suba T8;Calle 161 B - 1;22635;B50 CALLE 161;Habil;19:30:00;20:30:00;00:56:45;00:48:15;01:00:00;1497;1;1;1;
14;Portal Suba T8;Calle 161 B - 1;22635;B50 CALLE 161;Habil;20:30:00;30:00:00;00:56:45;00:48:15;01:00:00;1497;1;1;1;
14;Calle 161 B - 1;Portal Suba T8;20215;C50 P.SUBA;Habil;01:00:00;05:30:00;00:52:49;00:50:11;00:55:27;1497;2;1;1;
14;Calle 161 B - 1;Portal Suba T8;20215;C50 P.SUBA;Habil;05:30:00;06:30:00;00:50:48;00:48:21;00:53:04;1497;2;1;1;
14;Calle 161 B - 1;Portal Suba T8;20215;C50 P.SUBA;Habil;06:30:00;08:00:00;00:52:13;00:49:37;00:53:50;1497;2;1;1;
14;Calle 161 B - 1;Portal Suba T8;20215;C50 P.SUBA;Habil;08:00:00;09:00:00;00:52:49;00:50:59;00:55:27;1497;2;1;1;
14;Calle 161 B - 1;Portal Suba T8;20215;C50 P.SUBA;Habil;09:00:00;16:00:00;00:52:49;00:50:11;00:55:27;1497;2;1;1;
14;Calle 161 B - 1;Portal Suba T8;20215;C50 P.SUBA;Habil;16:00:00;17:00:00;00:54:10;00:51:28;00:56:18;1497;2;1;1;
14;Calle 161 B - 1;Portal Suba T8;20215;C50 P.SUBA;Habil;17:00:00;18:30:00;00:56:11;00:53:07;00:57:49;1497;2;1;1;
14;Calle 161 B - 1;Portal Suba T8;20215;C50 P.SUBA;Habil;18:30:00;19:30:00;00:53:33;00:50:29;00:55:34;1497;2;1;1;
14;Calle 161 B - 1;Portal Suba T8;20215;C50 P.SUBA;Habil;19:30:00;20:30:00;00:49:59;00:47:58;00:51:43;1497;2;1;1;
14;Calle 161 B - 1;Portal Suba T8;20215;C50 P.SUBA;Habil;20:30:00;30:00:00;00:52:49;00:50:11;00:55:27;1497;2;1;1;
18;Portal 80 T-4;Héroes C - 4;7825;B55 HEROES;Habil;01:00:00;05:30:00;00:20:15;00:18:45;00:21:45;1377;1;1;1;
18;Portal 80 T-4;Héroes C - 4;7825;B55 HEROES;Habil;05:30:00;06:30:00;00:20:00;00:18:45;00:21:30;1377;1;1;1;
18;Portal 80 T-4;Héroes C - 4;7825;B55 HEROES;Habil;06:30:00;08:00:00;00:20:30;00:19:00;00:21:45;1377;1;1;1;
18;Portal 80 T-4;Héroes C - 4;7825;B55 HEROES;Habil;08:00:00;09:00:00;00:20:30;00:19:00;00:21:30;1377;1;1;1;
18;Portal 80 T-4;Héroes C - 4;7825;B55 HEROES;Habil;09:00:00;16:00:00;00:20:15;00:18:45;00:21:45;1377;1;1;1;
18;Portal 80 T-4;Héroes C - 4;7825;B55 HEROES;Habil;16:00:00;17:00:00;00:20:15;00:18:45;00:21:45;1377;1;1;1;
18;Portal 80 T-4;Héroes C - 4;7825;B55 HEROES;Habil;17:00:00;18:30:00;00:20:15;00:18:45;00:21:45;1377;1;1;1;
18;Portal 80 T-4;Héroes C - 4;7825;B55 HEROES;Habil;18:30:00;19:30:00;00:20:15;00:18:45;00:21:45;1377;1;1;1;
18;Portal 80 T-4;Héroes C - 4;7825;B55 HEROES;Habil;19:30:00;20:30:00;00:20:15;00:18:45;00:21:45;1377;1;1;1;
